recombinations,sequencing errors,recurrent mutations,run seed,run time,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
0,0,0,3112907504.000000,0.036802,0.5,0.51,1,2,50,1000,2147483647
0,0,0,2629189275.000000,0.036159,0.5,0.51,1,2,50,1000,2147483647
0,0,0,1882800054.000000,0.036412,0.5,0.51,1,2,50,1000,2147483647
0,0,0,2079013939.000000,0.037722,0.5,0.51,1,2,50,1000,2147483647
0,0,0,2798005922.000000,0.035279,0.5,0.51,1,2,50,1000,2147483647
0,0,0,3009283041.000000,0.037699,0.4,0.41,1,2,50,1000,2147483647
0,0,0,3004776716.000000,0.036893,0.4,0.41,1,2,50,1000,2147483647
0,0,0,3274535062.000000,0.036016,0.4,0.41,1,2,50,1000,2147483647
0,0,0,3282175835.000000,0.035121,0.4,0.41,1,2,50,1000,2147483647
0,0,0,1994212479.000000,0.036540,0.4,0.41,1,2,50,1000,2147483647
0,0,0,2746252208.000000,0.035767,0.4,0.41,1,2,50,1000,2147483647
0,0,0,1983493163.000000,0.039077,0.4,0.41,1,2,50,1000,2147483647
0,0,0,3618410231.000000,0.037605,0.4,0.41,1,2,50,1000,2147483647
0,0,0,1806584180.000000,0.038195,0.4,0.41,1,2,50,1000,2147483647
0,0,0,3593609737.000000,0.037345,0.4,0.41,1,2,50,1000,2147483647
0,0,0,3019711324.000000,0.037028,0.3,0.31,1,2,50,1000,2147483647
0,0,0,3032218590.000000,0.036209,0.3,0.31,1,2,50,1000,2147483647
0,0,0,1835199575.000000,0.037255,0.3,0.31,1,2,50,1000,2147483647
0,0,0,3446681652.000000,0.039204,0.3,0.31,1,2,50,1000,2147483647
0,0,0,2546909081.000000,0.038011,0.3,0.31,1,2,50,1000,2147483647
0,0,0,2358288752.000000,0.036010,0.3,0.31,1,2,50,1000,2147483647
0,0,0,3361835074.000000,0.036358,0.3,0.31,1,2,50,1000,2147483647
0,0,0,2558708586.000000,0.038947,0.3,0.31,1,2,50,1000,2147483647
0,0,0,2043913415.000000,0.039783,0.3,0.31,1,2,50,1000,2147483647
0,0,0,3684214227.000000,0.036880,0.3,0.31,1,2,50,1000,2147483647
0,0,0,3452280897.000000,0.036918,0.2,0.21,1,2,50,1000,2147483647
