recombinations,sequencing errors,recurrent mutations,run seed,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
0,0,0,3293040538.000000,0.5,0.51,1,2,50,1000,2147483647
0,0,0,3109676004.000000,0.5,0.51,1,2,50,1000,2147483647
0,0,0,2753226092.000000,0.4,0.41,1,2,50,1000,2147483647
0,0,0,3544140065.000000,0.4,0.41,1,2,50,1000,2147483647
0,0,0,1955123716.000000,0.4,0.41,1,2,50,1000,2147483647
0,0,0,3488050276.000000,0.4,0.41,1,2,50,1000,2147483647
0,0,0,3098125463.000000,0.4,0.41,1,2,50,1000,2147483647
0,0,0,1776366742.000000,0.4,0.41,1,2,50,1000,2147483647
0,0,0,2632613011.000000,0.4,0.41,1,2,50,1000,2147483647
0,0,0,1859195629.000000,0.4,0.41,1,2,50,1000,2147483647
0,0,0,2788125639.000000,0.4,0.41,1,2,50,1000,2147483647
0,0,0,3132475244.000000,0.4,0.41,1,2,50,1000,2147483647
0,0,0,3478667249.000000,0.3,0.31,1,2,50,1000,2147483647
0,0,0,3462008395.000000,0.3,0.31,1,2,50,1000,2147483647
0,0,0,2691904109.000000,0.3,0.31,1,2,50,1000,2147483647
0,0,0,3613948023.000000,0.3,0.31,1,2,50,1000,2147483647
0,0,0,2999577266.000000,0.3,0.31,1,2,50,1000,2147483647
0,0,0,3522950535.000000,0.3,0.31,1,2,50,1000,2147483647
0,0,0,1722454270.000000,0.3,0.31,1,2,50,1000,2147483647
0,0,0,3020133523.000000,0.3,0.31,1,2,50,1000,2147483647
0,0,0,1922202162.000000,0.3,0.31,1,2,50,1000,2147483647
0,0,0,2076934401.000000,0.3,0.31,1,2,50,1000,2147483647
0,0,0,2097719541.000000,0.2,0.21,1,2,50,1000,2147483647
0,0,0,2876941908.000000,0.2,0.21,1,2,50,1000,2147483647
0,0,0,2961741170.000000,0.2,0.21,1,2,50,1000,2147483647
0,0,0,3648171704.000000,0.2,0.21,1,2,50,1000,2147483647
0,0,0,2873489822.000000,0.2,0.21,1,2,50,1000,2147483647
0,0,0,3544531392.000000,0.2,0.21,1,2,50,1000,2147483647
0,0,0,2639488826.000000,0.2,0.21,1,2,50,1000,2147483647
0,0,0,2883139117.000000,0.2,0.21,1,2,50,1000,2147483647
0,0,0,1859611707.000000,0.2,0.21,1,2,50,1000,2147483647
0,0,0,1721476084.000000,0.2,0.21,1,2,50,1000,2147483647
0,0,0,2149530889.000000,0.1,0.11,1,2,50,1000,2147483647
0,0,0,3365191735.000000,0.1,0.11,1,2,50,1000,2147483647
0,0,0,2556239430.000000,0.1,0.11,1,2,50,1000,2147483647
0,0,0,2859552186.000000,0.1,0.11,1,2,50,1000,2147483647
0,0,0,3266807033.000000,0.1,0.11,1,2,50,1000,2147483647
0,0,0,3715579453.000000,0.1,0.11,1,2,50,1000,2147483647
0,0,0,3031305592.000000,0.1,0.11,1,2,50,1000,2147483647
0,0,0,3047790490.000000,0.1,0.11,1,2,50,1000,2147483647
0,0,0,2026592574.000000,0.1,0.11,1,2,50,1000,2147483647
0,0,0,3181474466.000000,0.1,0.11,1,2,50,1000,2147483647
0,0,0,3709840666.000000,0.01,0.02,1,2,50,1000,2147483647
0,0,0,2682471748.000000,0.01,0.02,1,2,50,1000,2147483647
0,0,0,3464533191.000000,0.01,0.02,1,2,50,1000,2147483647
0,0,0,2650804306.000000,0.01,0.02,1,2,50,1000,2147483647
0,0,0,2201753756.000000,0.01,0.02,1,2,50,1000,2147483647
0,0,0,3788157120.000000,0.01,0.02,1,2,50,1000,2147483647
0,0,0,3678242257.000000,0.01,0.02,1,2,50,1000,2147483647
0,0,0,2510213347.000000,0.01,0.02,1,2,50,1000,2147483647
0,0,0,2771188812.000000,0.01,0.02,1,2,50,1000,2147483647
0,0,0,3522501836.000000,0.01,0.02,1,2,50,1000,2147483647
0,0,0,3388575530.000000,1,1.1,-1,-1,50,1000,2147483647
0,0,0,2324845406.000000,1,1.1,-1,-1,50,1000,2147483647
0,0,0,3649596747.000000,1,1.1,-1,-1,50,1000,2147483647
0,0,0,1922094938.000000,1,1.1,-1,-1,50,1000,2147483647
0,0,0,1839383978.000000,1,1.1,-1,-1,50,1000,2147483647
0,0,0,2555299148.000000,1,1.1,-1,-1,50,1000,2147483647
0,0,0,3250570275.000000,1,1.1,-1,-1,50,1000,2147483647
0,0,0,3306002474.000000,1,1.1,-1,-1,50,1000,2147483647
0,0,0,2804665947.000000,1,1.1,-1,-1,50,1000,2147483647
0,0,0,1997481708.000000,1,1.1,-1,-1,50,1000,2147483647
0,0,0,2676451167.000000,-1,-1,1,2,30,1000,2147483647
0,0,0,2215641068.000000,-1,-1,1,2,30,1000,2147483647
0,0,0,1904703965.000000,-1,-1,1,2,30,1000,2147483647
0,0,0,2209612714.000000,-1,-1,1,2,30,1000,2147483647
0,0,0,2748180022.000000,-1,-1,1,2,30,1000,2147483647
0,0,0,3038023160.000000,-1,-1,1,2,30,1000,2147483647
0,0,0,2658651237.000000,-1,-1,1,2,30,1000,2147483647
0,0,0,2617370953.000000,-1,-1,1,2,30,1000,2147483647
0,0,0,3586898912.000000,-1,-1,1,2,30,1000,2147483647
0,0,0,3216903945.000000,-1,-1,1,2,30,1000,2147483647
0,0,0,2400567465.000000,1.9,1.91,1,2,30,1000,2147483647
0,0,0,2650495827.000000,1.9,1.91,1,2,30,1000,2147483647
0,0,0,1977673390.000000,1.9,1.91,1,2,30,1000,2147483647
0,0,0,2112505641.000000,1.9,1.91,1,2,30,1000,2147483647
0,0,0,2396637093.000000,1.9,1.91,1,2,30,1000,2147483647
0,0,0,1683231289.000000,1.9,1.91,1,2,30,1000,2147483647
0,0,0,3182191544.000000,1.9,1.91,1,2,30,1000,2147483647
0,0,0,1830411175.000000,1.9,1.91,1,2,30,1000,2147483647
0,0,0,2847485934.000000,1.9,1.91,1,2,30,1000,2147483647
0,0,0,1952434429.000000,1.9,1.91,1,2,30,1000,2147483647
0,0,0,2941523689.000000,1.8,1.81,1,2,30,1000,2147483647
0,0,0,2211029621.000000,1.8,1.81,1,2,30,1000,2147483647
0,0,0,3288259791.000000,1.8,1.81,1,2,30,1000,2147483647
0,0,0,1858694392.000000,1.8,1.81,1,2,30,1000,2147483647
0,0,0,1685269678.000000,1.8,1.81,1,2,30,1000,2147483647
0,0,0,3107479509.000000,1.8,1.81,1,2,30,1000,2147483647
0,0,0,2558350570.000000,1.8,1.81,1,2,30,1000,2147483647
0,0,0,3618285146.000000,1.8,1.81,1,2,30,1000,2147483647
0,0,0,2405888579.000000,1.8,1.81,1,2,30,1000,2147483647
0,0,0,3555216449.000000,1.8,1.81,1,2,30,1000,2147483647
0,0,0,2579054512.000000,1.7,1.71,1,2,30,1000,2147483647
0,0,0,3029775641.000000,1.7,1.71,1,2,30,1000,2147483647
