recombinations,sequencing errors,recurrent mutations,run seed,run time,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
-1,-1,-1,2348167296.000000,0.000000,1.1,1.11,1,2,50,1000,2147483647
-1,-1,-1,1727514047.000000,0.000000,1.1,1.11,1,2,50,1000,2147483647
-1,-1,-1,3732209959.000000,0.000000,1.1,1.11,1,2,50,1000,2147483647
13,13,17,1743944238.000000,0.000000,1,1.01,1,2,50,1000,2147483647
-1,-1,-1,3603871954.000000,0.000000,1,1.01,1,2,50,1000,2147483647
-1,-1,-1,3140262809.000000,0.000000,1,1.01,1,2,50,1000,2147483647
-1,-1,-1,2961679896.000000,0.000000,1,1.01,1,2,50,1000,2147483647
-1,-1,-1,3012932817.000000,0.000000,1,1.01,1,2,50,1000,2147483647
-1,-1,-1,2173877611.000000,0.000000,1,1.01,1,2,50,1000,2147483647
-1,-1,-1,3317691763.000000,0.000000,1,1.01,1,2,50,1000,2147483647
-1,-1,-1,2692988542.000000,0.000000,1,1.01,1,2,50,1000,2147483647
-1,-1,-1,3233168102.000000,0.000000,1,1.01,1,2,50,1000,2147483647
-1,-1,-1,2389364255.000000,0.000000,1,1.01,1,2,50,1000,2147483647
-1,-1,-1,3783632565.000000,0.000000,0.9,0.91,1,2,50,1000,2147483647
-1,-1,-1,1724625961.000000,0.000000,0.9,0.91,1,2,50,1000,2147483647
-1,-1,-1,1882649527.000000,0.000000,0.9,0.91,1,2,50,1000,2147483647
-1,-1,-1,1757316314.000000,0.000000,0.9,0.91,1,2,50,1000,2147483647
-1,-1,-1,1876619828.000000,0.000000,0.9,0.91,1,2,50,1000,2147483647
-1,-1,-1,3667782225.000000,0.000000,0.9,0.91,1,2,50,1000,2147483647
-1,-1,-1,2376143024.000000,0.000000,0.9,0.91,1,2,50,1000,2147483647
-1,-1,-1,3652412718.000000,0.000000,0.9,0.91,1,2,50,1000,2147483647
-1,-1,-1,2432777324.000000,0.000000,0.9,0.91,1,2,50,1000,2147483647
9,10,25,2155877347.000000,0.000000,0.9,0.91,1,2,50,1000,2147483647
-1,-1,-1,1900847740.000000,0.000000,0.8,0.81,1,2,50,1000,2147483647
-1,-1,-1,3012448404.000000,0.000000,0.8,0.81,1,2,50,1000,2147483647
-1,-1,-1,3311948999.000000,0.000000,0.8,0.81,1,2,50,1000,2147483647
-1,-1,-1,3227256912.000000,0.000000,0.8,0.81,1,2,50,1000,2147483647
-1,-1,-1,1773907805.000000,0.000000,0.8,0.81,1,2,50,1000,2147483647
-1,-1,-1,2325732065.000000,0.000000,0.8,0.81,1,2,50,1000,2147483647
-1,-1,-1,3164522144.000000,0.000000,0.8,0.81,1,2,50,1000,2147483647
-1,-1,-1,2463729857.000000,0.000000,0.8,0.81,1,2,50,1000,2147483647
-1,-1,-1,2657704279.000000,0.000000,0.8,0.81,1,2,50,1000,2147483647
-1,-1,-1,2988308782.000000,0.000000,0.8,0.81,1,2,50,1000,2147483647
-1,-1,-1,3057165908.000000,0.000000,0.7,0.71,1,2,50,1000,2147483647
-1,-1,-1,1708683214.000000,0.000000,0.7,0.71,1,2,50,1000,2147483647
-1,-1,-1,3544725900.000000,0.000000,0.7,0.71,1,2,50,1000,2147483647
