recombinations,sequencing errors,recurrent mutations,run seed,run time,se_cost,rm_cost,r_cost,rr_cost,temp,recomb_max,rm_max
-1,-1,-1,2187131794.000000,9.106921,0.5,0.51,1,2,50,1000,2147483647
-1,-1,-1,2128963343.000000,4.101221,0.5,0.51,1,2,50,1000,2147483647
-1,-1,-1,3431463903.000000,4.588192,0.5,0.51,1,2,50,1000,2147483647
2,82,35,2427185451.000000,3.123521,0.4,0.41,1,2,50,1000,2147483647
-1,-1,-1,2510585557.000000,3.148225,0.4,0.41,1,2,50,1000,2147483647
-1,-1,-1,3532860176.000000,3.088090,0.4,0.41,1,2,50,1000,2147483647
-1,-1,-1,3155626179.000000,3.148290,0.4,0.41,1,2,50,1000,2147483647
-1,-1,-1,1897139254.000000,7.718718,0.4,0.41,1,2,50,1000,2147483647
-1,-1,-1,3133546883.000000,3.610891,0.4,0.41,1,2,50,1000,2147483647
-1,-1,-1,3266794474.000000,1.739141,0.4,0.41,1,2,50,1000,2147483647
-1,-1,-1,2931570092.000000,5.225562,0.4,0.41,1,2,50,1000,2147483647
-1,-1,-1,2636242184.000000,4.924758,0.4,0.41,1,2,50,1000,2147483647
-1,-1,-1,2535554511.000000,4.499123,0.4,0.41,1,2,50,1000,2147483647
-1,-1,-1,2441181185.000000,7.902311,0.3,0.31,1,2,50,1000,2147483647
-1,-1,-1,3095096228.000000,3.301540,0.3,0.31,1,2,50,1000,2147483647
-1,-1,-1,3323917604.000000,1.975756,0.3,0.31,1,2,50,1000,2147483647
-1,-1,-1,2378392654.000000,5.634198,0.3,0.31,1,2,50,1000,2147483647
-1,-1,-1,2931276887.000000,4.108128,0.3,0.31,1,2,50,1000,2147483647
-1,-1,-1,3015014744.000000,0.861259,0.3,0.31,1,2,50,1000,2147483647
-1,-1,-1,2241760767.000000,4.608289,0.3,0.31,1,2,50,1000,2147483647
-1,-1,-1,2255030633.000000,9.698230,0.3,0.31,1,2,50,1000,2147483647
-1,-1,-1,2091767613.000000,9.516744,0.3,0.31,1,2,50,1000,2147483647
-1,-1,-1,3696317527.000000,8.633739,0.3,0.31,1,2,50,1000,2147483647
2,43,16,3207222996.000000,1.282536,0.2,0.21,1,2,50,1000,2147483647
-1,-1,-1,3040675179.000000,4.697011,0.2,0.21,1,2,50,1000,2147483647
4,27,13,2699857390.000000,1.372180,0.2,0.21,1,2,50,1000,2147483647
-1,-1,-1,3551556332.000000,4.207507,0.2,0.21,1,2,50,1000,2147483647
-1,-1,-1,2043712165.000000,2.355088,0.2,0.21,1,2,50,1000,2147483647
-1,-1,-1,2249585362.000000,3.162198,0.2,0.21,1,2,50,1000,2147483647
1,65,41,2119462780.000000,2.980576,0.2,0.21,1,2,50,1000,2147483647
-1,-1,-1,3049018974.000000,3.676278,0.2,0.21,1,2,50,1000,2147483647
-1,-1,-1,3668888698.000000,3.147732,0.2,0.21,1,2,50,1000,2147483647
-1,-1,-1,3017246964.000000,7.491155,0.2,0.21,1,2,50,1000,2147483647
-1,-1,-1,2142561442.000000,2.027999,0.1,0.11,1,2,50,1000,2147483647
-1,-1,-1,3064756047.000000,5.320107,0.1,0.11,1,2,50,1000,2147483647
-1,-1,-1,3233678379.000000,6.848918,0.1,0.11,1,2,50,1000,2147483647
-1,-1,-1,2486077477.000000,4.501720,0.1,0.11,1,2,50,1000,2147483647
-1,-1,-1,2974048398.000000,4.360241,0.1,0.11,1,2,50,1000,2147483647
-1,-1,-1,2798665163.000000,2.972527,0.1,0.11,1,2,50,1000,2147483647
-1,-1,-1,2423904875.000000,3.304600,0.1,0.11,1,2,50,1000,2147483647
-1,-1,-1,2024407227.000000,7.254785,0.1,0.11,1,2,50,1000,2147483647
-1,-1,-1,3214106885.000000,4.391213,0.1,0.11,1,2,50,1000,2147483647
-1,-1,-1,3348345119.000000,2.393048,0.1,0.11,1,2,50,1000,2147483647
-1,-1,-1,2124690392.000000,19.332437,0.01,0.02,1,2,50,1000,2147483647
-1,-1,-1,2066548819.000000,1.562993,0.01,0.02,1,2,50,1000,2147483647
-1,-1,-1,1897986286.000000,3.540443,0.01,0.02,1,2,50,1000,2147483647
0,102,70,2375865411.000000,2.713868,0.01,0.02,1,2,50,1000,2147483647
-1,-1,-1,3059462418.000000,3.859242,0.01,0.02,1,2,50,1000,2147483647
-1,-1,-1,2830918104.000000,3.034921,0.01,0.02,1,2,50,1000,2147483647
2,18,20,2034155872.000000,0.652655,0.01,0.02,1,2,50,1000,2147483647
1,69,32,2757882830.000000,1.137938,0.01,0.02,1,2,50,1000,2147483647
-1,-1,-1,3686711524.000000,2.841169,0.01,0.02,1,2,50,1000,2147483647
-1,-1,-1,2753587469.000000,2.301547,0.01,0.02,1,2,50,1000,2147483647
-1,-1,-1,2200030750.000000,4.660537,1,1.1,-1,-1,50,1000,2147483647
-1,-1,-1,3730122624.000000,4.501186,1,1.1,-1,-1,50,1000,2147483647
-1,-1,-1,2852483349.000000,6.310534,1,1.1,-1,-1,50,1000,2147483647
-1,-1,-1,2806100787.000000,6.291583,1,1.1,-1,-1,50,1000,2147483647
-1,-1,-1,2417577187.000000,4.618982,1,1.1,-1,-1,50,1000,2147483647
-1,-1,-1,2313878451.000000,4.944273,1,1.1,-1,-1,50,1000,2147483647
-1,-1,-1,2091742676.000000,4.839532,1,1.1,-1,-1,50,1000,2147483647
-1,-1,-1,3321439440.000000,5.004877,1,1.1,-1,-1,50,1000,2147483647
-1,-1,-1,3424425360.000000,5.204615,1,1.1,-1,-1,50,1000,2147483647
-1,-1,-1,3473031990.000000,6.653463,1,1.1,-1,-1,50,1000,2147483647
27,0,0,3429219067.000000,0.294673,-1,-1,1,2,30,1000,2147483647
27,0,0,2201172138.000000,1.054014,-1,-1,1,2,30,1000,2147483647
23,0,0,2615694526.000000,0.316768,-1,-1,1,2,30,1000,2147483647
25,0,0,2605624186.000000,0.387178,-1,-1,1,2,30,1000,2147483647
22,0,0,2543579720.000000,0.362759,-1,-1,1,2,30,22,2147483647
27,0,0,1872338108.000000,0.492034,-1,-1,1,2,30,1000,2147483647
24,0,0,3465577535.000000,0.345058,-1,-1,1,2,30,1000,2147483647
22,0,0,2826407440.000000,0.492751,-1,-1,1,2,30,1000,2147483647
25,0,0,1864582211.000000,1.847598,-1,-1,1,2,30,1000,2147483647
27,0,0,3556405767.000000,0.800432,-1,-1,1,2,30,1000,2147483647
-1,-1,-1,2487787350.000000,1.187986,1.5,1.51,1,2,30,1000,2147483647
-1,-1,-1,2344421723.000000,0.741055,1.5,1.51,1,2,30,1000,2147483647
-1,-1,-1,2272810164.000000,1.273547,1.5,1.51,1,2,30,1000,2147483647
-1,-1,-1,2794544492.000000,0.844066,1.5,1.51,1,2,30,1000,2147483647
-1,-1,-1,3099678282.000000,1.080203,1.5,1.51,1,2,30,1000,2147483647
-1,-1,-1,2972398491.000000,0.867727,1.5,1.51,1,2,30,1000,2147483647
-1,-1,-1,2886566821.000000,1.311647,1.5,1.51,1,2,30,1000,2147483647
-1,-1,-1,3359262795.000000,1.027492,1.5,1.51,1,2,30,1000,2147483647
-1,-1,-1,1810647592.000000,0.952511,1.5,1.51,1,2,30,1000,2147483647
-1,-1,-1,3389829042.000000,0.879153,1.5,1.51,1,2,30,1000,2147483647
-1,-1,-1,3328574074.000000,1.696157,1.2,1.21,1,2,30,1000,2147483647
-1,-1,-1,2436215926.000000,1.116391,1.2,1.21,1,2,30,1000,2147483647
-1,-1,-1,2639291507.000000,1.075367,1.2,1.21,1,2,30,1000,2147483647
-1,-1,-1,3432147363.000000,1.234526,1.2,1.21,1,2,30,1000,2147483647
-1,-1,-1,2958859324.000000,1.094212,1.2,1.21,1,2,30,1000,2147483647
-1,-1,-1,3352818672.000000,0.921518,1.2,1.21,1,2,30,1000,2147483647
